channel_id,rows,rank_min,avg_viewers,hours_watched,followers_avg,peak_viewers_max,active_rows,top500_rows,score
78373766,48,33.0,149037.0,2757189.5,392063.0,749621.0,1,1,149037.0
348634,48,1.0,99241.0,46856911.75,1328351.0,375534.0,5,4,99241.0
3196211,48,1.0,85769.82222222222,374350428.25,19845101.777777776,9189762.0,45,43,85769.82222222222
36216355,48,1.0,79174.43478260869,509345001.5,19852125.0,879383.0,46,43,79174.43478260869
328249,48,141.0,72172.0,829988.5,81267.0,96899.0,1,1,72172.0
349504,48,2.0,68935.8,33452523.0,1099274.0,300968.0,5,4,68935.8
3045072,48,59.0,68114.4,9493591.75,1530594.0,573901.0,15,8,68114.4
56094895,48,364.0,67760.0,508204.25,19543.0,119936.0,1,1,67760.0
1916890,48,3.0,67603.77777777778,81447999.0,3430784.0,448161.0,9,9,67603.77777777778
5504732,48,1.0,62926.48484848485,100406495.75,3286977.484848485,1098636.0,33,28,62926.48484848485
66728509,48,56.0,60492.0,14231799.5,342689.0,145324.0,12,11,60492.0
4408388,48,6.0,54874.21428571428,64506883.25,7033346.0,266118.0,14,12,54874.21428571428
24713147,48,3.0,53137.020833333336,196138867.25,17003221.1875,457641.0,48,47,53137.020833333336
5259,48,1.0,52816.37037037037,121333939.75,7358758.0,988867.0,27,16,52816.37037037037
24443539,48,127.0,52316.0625,4537058.75,491593.0,170318.0,16,3,52316.0625
468643,48,381.0,51653.5,2358817.25,939081.0,314099.0,16,1,51653.5
81762171,48,477.0,50456.5,358953.5,144617.0,149012.0,2,1,50456.5
29967290,48,91.0,48250.0,1628455.25,192524.0,135026.0,1,1,48250.0
25899954,48,5.0,44546.045454545456,81597811.0,3360882.0,1155060.0,44,39,44546.045454545456
78121,48,1.0,41919.3125,391366054.0,12347139.3125,312158.0,48,48,41919.3125
