channel_id,rows,rank_min,avg_viewers,hours_watched,followers_avg,peak_viewers_max,active_rows,top500_rows,score
36216355,48,1.0,79174.43478260869,509345001.5,19852125.0,879383.0,46,43,509345001.5
78121,48,1.0,41919.3125,391366054.0,12347139.3125,312158.0,48,48,391366054.0
13076616,48,1.0,11165.625,388974180.5,4327989.520833333,669678.0,48,48,388974180.5
3196211,48,1.0,85769.82222222222,374350428.25,19845101.777777776,9189762.0,45,43,374350428.25
232516,48,1.0,20688.916666666668,297437031.25,1648421.375,125341.0,48,48,297437031.25
14441748,48,2.0,28587.395833333332,296337363.0,3052634.1666666665,312431.0,48,48,296337363.0
19392705,48,3.0,28962.833333333332,269353042.75,2313848.1458333335,207475.0,48,48,269353042.75
30004033,48,2.0,24912.270833333332,249101203.25,1162411.4166666667,292323.0,48,48,249101203.25
2053059,48,1.0,25725.166666666668,225010278.75,1540501.375,422291.0,48,46,225010278.75
10840,48,5.0,13117.020833333334,221540745.25,6386618.729166667,48921.0,48,48,221540745.25
178158,48,1.0,25024.041666666668,220456182.75,3312810.1666666665,278904.0,48,47,220456182.75
30500360,48,1.0,26294.936170212764,220003467.25,2331056.404255319,309124.0,47,46,220003467.25
571,48,2.0,7394.708333333333,199876619.0,6648816.604166667,550154.0,48,42,199876619.0
24713147,48,3.0,53137.020833333336,196138867.25,17003221.1875,457641.0,48,47,196138867.25
32760796,48,2.0,29891.875,195888630.25,7080631.375,205471.0,48,48,195888630.25
21104643,48,1.0,25687.875,195050011.25,9501823.479166666,228099.0,48,37,195050011.25
35478616,48,7.0,5638.3125,186689822.25,796986.9791666666,204072.0,48,47,186689822.25
101547,48,3.0,20318.0,171294148.5,3107137.875,120011.0,48,38,171294148.5
910344,48,2.0,34869.63829787234,169655820.25,4559806.85106383,205005.0,47,47,169655820.25
211156,48,6.0,18367.229166666668,154045853.0,2106655.625,419458.0,48,48,154045853.0
