game,mentions,total_hours,avg_viewers_mean
Just Chatting,52094,1944708.75,3304.9897492993437
League of Legends,14024,863964.0,3643.434540787222
Grand Theft Auto V,10470,748899.0,4108.55787965616
VALORANT,14553,632347.5,3222.0906342334915
Counter-Strike,9847,423061.0,4006.07758708236
Fortnite,10838,416734.5,3661.2104631850893
Rust,4860,393459.0,2102.337448559671
Escape from Tarkov,4450,392831.0,1904.3941573033708
Dota 2,4154,354284.5,3957.7636013480983
World of Warcraft,4599,348914.0,2403.7640791476406
Minecraft,10154,276623.75,4978.105475674611
Apex Legends,6107,257310.75,2777.357131160963
Call of Duty: Warzone,4199,246219.0,2815.556561085973
Teamfight Tactics,3436,183692.0,2210.227299185099
Overwatch,4407,176958.25,2782.592012707057
ASMR,873,165660.5,1785.8751431844216
Hearthstone,1805,152817.5,2220.9185595567865
Always On,285,125874.0,601.3859649122807
I'm Only Sleeping,2571,124678.5,1672.4052897705174
Lost Ark,1665,116369.25,2825.852252252252
