2026-04-10 08:04:17 | INFO     | twitch_enrich | 📥 Loading output\twitch_full_panel_cleaned.csv
2026-04-10 08:04:17 | WARNING  | twitch_enrich | TWITCH_CLIENT_ID / TWITCH_CLIENT_SECRET missing; skipping created enrichment
2026-04-10 08:04:18 | INFO     | twitch_enrich | 📊 Game enrichment: 116592 rows to fetch, 0 already enriched (skipped)
2026-04-10 08:04:18 | INFO     | twitch_enrich |    unique SullyGnome game jobs=116592
2026-04-10 08:05:02 | INFO     | twitch_enrich |    game batch 1/234 done
2026-04-10 08:05:47 | INFO     | twitch_enrich |    game batch 2/234 done
2026-04-10 08:06:55 | INFO     | twitch_enrich | 📥 Loading output\twitch_full_panel_cleaned.csv
2026-04-10 08:06:56 | WARNING  | twitch_enrich | TWITCH_CLIENT_ID / TWITCH_CLIENT_SECRET missing; skipping created enrichment
2026-04-10 08:06:57 | INFO     | twitch_enrich | 📊 Game enrichment: 116592 rows to fetch, 0 already enriched (skipped)
2026-04-10 08:06:57 | INFO     | twitch_enrich |    unique SullyGnome game jobs=116592
2026-04-10 08:07:00 | INFO     | twitch_enrich |    game batch 1/234 done
2026-04-10 08:09:24 | INFO     | twitch_enrich | 📥 Loading output\twitch_full_panel_cleaned.csv
2026-04-10 08:09:25 | INFO     | twitch_enrich | 🎮 Resolving Twitch account creation dates...
2026-04-10 08:09:27 | INFO     | twitch_enrich | ✅ Twitch auth success
2026-04-10 08:09:27 | INFO     | twitch_enrich |    unique logins=2653
2026-04-10 08:09:28 | INFO     | twitch_enrich |    batch 1 done (resolved=98)
2026-04-10 08:09:30 | INFO     | twitch_enrich |    batch 5 done (resolved=493)
2026-04-10 08:09:34 | INFO     | twitch_enrich |    batch 10 done (resolved=985)
2026-04-10 08:09:39 | INFO     | twitch_enrich |    batch 15 done (resolved=1481)
2026-04-10 08:09:43 | INFO     | twitch_enrich |    batch 20 done (resolved=1972)
2026-04-10 08:09:48 | INFO     | twitch_enrich |    batch 25 done (resolved=2324)
2026-04-10 08:09:53 | INFO     | twitch_enrich | ✅ Filled created_at for 111637 rows
2026-04-10 08:09:54 | INFO     | twitch_enrich | 📊 Game enrichment: 116592 rows to fetch, 0 already enriched (skipped)
2026-04-10 08:09:54 | INFO     | twitch_enrich |    unique SullyGnome game jobs=116592
2026-04-10 08:10:37 | INFO     | twitch_enrich |    game batch 1/234 done
2026-04-10 08:11:14 | INFO     | twitch_enrich |    game batch 2/234 done
2026-04-10 08:11:57 | INFO     | twitch_enrich |    game batch 3/234 done
2026-04-10 08:12:41 | INFO     | twitch_enrich |    game batch 4/234 done
2026-04-10 08:13:31 | INFO     | twitch_enrich |    game batch 5/234 done
2026-04-10 08:14:14 | INFO     | twitch_enrich |    game batch 6/234 done
2026-04-10 08:14:59 | INFO     | twitch_enrich |    game batch 7/234 done
2026-04-10 08:15:43 | INFO     | twitch_enrich |    game batch 8/234 done
2026-04-10 08:16:32 | INFO     | twitch_enrich |    game batch 9/234 done
2026-04-10 08:17:21 | INFO     | twitch_enrich |    game batch 10/234 done
2026-04-10 08:18:03 | INFO     | twitch_enrich |    game batch 11/234 done
2026-04-10 08:18:48 | INFO     | twitch_enrich |    game batch 12/234 done
2026-04-10 08:19:34 | INFO     | twitch_enrich |    game batch 13/234 done
2026-04-10 08:20:17 | INFO     | twitch_enrich |    game batch 14/234 done
2026-04-10 08:21:00 | INFO     | twitch_enrich |    game batch 15/234 done
2026-04-10 08:21:52 | INFO     | twitch_enrich |    game batch 16/234 done
2026-04-10 08:22:38 | INFO     | twitch_enrich |    game batch 17/234 done
2026-04-10 08:23:26 | INFO     | twitch_enrich |    game batch 18/234 done
2026-04-10 08:24:13 | INFO     | twitch_enrich |    game batch 19/234 done
2026-04-10 08:24:56 | INFO     | twitch_enrich |    game batch 20/234 done
2026-04-10 08:25:38 | INFO     | twitch_enrich |    game batch 21/234 done
2026-04-10 08:26:20 | INFO     | twitch_enrich |    game batch 22/234 done
2026-04-10 08:27:06 | INFO     | twitch_enrich |    game batch 23/234 done
2026-04-10 08:27:48 | INFO     | twitch_enrich |    game batch 24/234 done
2026-04-10 08:28:31 | INFO     | twitch_enrich |    game batch 25/234 done
2026-04-10 08:29:21 | INFO     | twitch_enrich |    game batch 26/234 done
2026-04-10 08:30:03 | INFO     | twitch_enrich |    game batch 27/234 done
2026-04-10 08:30:46 | INFO     | twitch_enrich |    game batch 28/234 done
2026-04-10 08:31:28 | INFO     | twitch_enrich |    game batch 29/234 done
2026-04-10 08:32:18 | INFO     | twitch_enrich |    game batch 30/234 done
2026-04-10 08:33:00 | INFO     | twitch_enrich |    game batch 31/234 done
2026-04-10 08:35:36 | INFO     | twitch_enrich |    game batch 32/234 done
